Title,,GMD,,,,Publisher,,,Type of book,Call #,?,Publishing city,Call #,?,?,?,Author,Category,Item
1 Jam Membuat Boneka Mungil dari Kain Felt,Felt,Text,,,,Demedia,2010,,Kreasi Kreatif,745.5,,Jakarta,745.5,,,,<Stephani >,<Aktivitas - Umum>,<T704699>
10 Penyakit Utama Plus Gangguan Jantung,tung,Text,,,,Majalah Flona,2009,,"Terapi Herba, Buah, Sayuran",614.5,,Jakarta,614.5,,,,<Tim Penulis>,<Umum>,<T702576>
10 Things To Do Before I Die, Die,Text,,,,Gramedia Pustaka Utama,2008,,Teenlit,823,,Jakarta,823,,,,<Daniel Ehrenhaft>,<Novel / Fiksi>,<T701105><T701106>
100 Atlet yang Berpengaruh di dalam Sejarah Olahraga,raga,Text,,,,Karisma Publishing Group,2005,,Seri Sekilas Mengetahui,905,,Batam,905,,,,<Timothy Jacobs>,<Pengetahuan Dewasa>,<T701573>
100 Bencana Terbesar sepanjang Masa,Masa,Text,,,,Karisma Publishing Group,2006,,Seri Sekilas Mengetahui,904,,Batam,904,,,,<Stephen J. Spignesi>,<Pengetahuan Dewasa>,<T700280>
100 Binatang Pemecah Rekor,ekor,Text,,,,Argomedia Pustaka,2009,,Pengetahuan Anak,156.3,,Jakarta,156.3,,,,<Tim Orange Picture>,<Pengetahuan Dewasa>,<T702164>
100 Game Kreatif,atif,Text,,,,Gradien Mediatama,2008,,Permainan,394.3,,Yogyakarta,394.3,,,,<Sya'ban Jamil><Taufik Hidayanto>,<Aktivitas - Umum>,<T700546>
100 Hal paling Bikin Penasaran,aran,Text,,,,"PT. Gramedia Pustaka Utama, Jakarta",2011,,Pengetahuan,,,Jakarta,,,,,<>,<Pengetahuan Dewasa>,<T704857>
100 jam, jam,Text,,,,Gramedia Pustaka Utama,2007,,Teenlit,813,,Jakarta,813,,,,<Amalia Suryani><Andryan Suhardi>,<Novel / Fiksi>,<T701306>
100 Keajaiban Alam Dunia,unia,Text,,,,Karisma Publishing Group,,,Seri Sekilas Mengetahui,901,,,901,,,,<Bill Yenne>,<Pengetahuan Dewasa>,<T700283>
100 Kota Besar Bersejarah di Dunia,unia,Text,,,,Ladang Pustaka,2001,,Buku Pintar,909,,Jakarta,909,,,,<Tim Penulis                      >,<Pengetahuan Dewasa>,<T702226>
100 Kota Paling Penting di Dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2008,,Seri Sekilas Mengetahui,905,,Batam,905,,,,<Chrisanne Beckner>,<Pengetahuan Dewasa>,<T701571>
100 Pemimpin Dunia yang Berpengaruh di dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2001,,Seri Sekilas Mengetahui,922,,Batam,922,,,,<Kathleen Paparchontis>,<Pengetahuan Dewasa>,<T701572>
100 Penulis yang Membentuk Sejarah Dunia,unia,Text,,,,Progres,2005,,Pustaka Pintar,905,,Jakarta,905,,,,<Tim Penulis                   >,<Pengetahuan Dewasa>,<T702082>
100 Peperangan Yang Berpengaruh Di Dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2007,,Seri Sekilas Mengetahui,904,,Tangerang,904,,,,<Samuel Willard Crampton>,<Pengetahuan Dewasa>,<T700282>
100 Peristiwa Penting Dalam Sejarah Kristen,sten,Text,,,,BPK Gunung Mulia,2001,,Buku Rohani,270,,Jakarta,270,,,,<A Kenneth Curtis>,<Buku Rohani>,<T703848>
100 Peristiwa yang Berpengaruh di dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,1993,,Seri Sekilas Mengetahui,905,,Batam,905,,,,<Bill Yenne>,<Pengetahuan Dewasa>,<T701575>
